department_id_1,department_name_1,department_id_2,department_name_2,course_similarity_refined_weighted,course_similarity_refined_binary,score_median_1,score_median_2,score_difference_median
D09,의예과,D12,약학과,1.0000000000000002,1.0000000000000002,1.28,1.32,0.040000000000000036
D07,신소재공학과,D10,수학과,0.9601302410323393,0.9733285267845758,2.84,2.665,0.17499999999999982
D10,수학과,D17,화학공학과,0.9553302944424512,0.9718253158075505,2.665,2.54,0.125
D10,수학과,D23,응용통계학과,0.9534625892455924,0.9128709291752767,2.665,2.73,0.06499999999999995
D02,국어국문학과,D03,심리학과,0.948683298050514,0.925820099772552,2.96,3.25,0.29000000000000004
D07,신소재공학과,D17,화학공학과,0.9459053029269175,0.9459053029269175,2.84,2.54,0.2999999999999998
D13,사회학과,D16,미디어커뮤니케이션학과,0.9459053029269175,0.9459053029269175,2.7649999999999997,2.77,0.0050000000000003375
D07,신소재공학과,D15,생명과학과,0.9431535725789766,0.9511897312113419,2.84,3.395,0.5550000000000002
D04,기계공학과,D24,컴퓨터공학과,0.9316949906249123,0.968245836551854,3.2,3.145,0.05500000000000016
D04,기계공학과,D10,수학과,0.9231861823449959,0.8838834764831842,3.2,2.665,0.5350000000000001
D21,전기전자공학과,D23,응용통계학과,0.9181561700975344,0.9393364366277247,3.335,2.73,0.605
D15,생명과학과,D17,화학공학과,0.916245694581702,0.899735410842437,3.395,2.54,0.855
D01,건축학과,D05,화학과,0.9130434782608695,0.9130434782608695,3.1005000000000003,2.7085,0.39200000000000035
D04,기계공학과,D17,화학공학과,0.9095085938862489,0.9095085938862489,3.2,2.54,0.6600000000000001
D04,기계공학과,D23,응용통계학과,0.9036961141150638,0.9036961141150638,3.2,2.73,0.4700000000000002
D10,수학과,D15,생명과학과,0.9026709338484402,0.9258200997725518,2.665,3.395,0.73
D21,전기전자공학과,D24,컴퓨터공학과,0.889806873653735,0.8767140075192097,3.335,3.145,0.18999999999999995
D04,기계공학과,D21,전기전자공학과,0.889000889001334,0.9095085938862489,3.2,3.335,0.1349999999999998
D04,기계공학과,D15,생명과학과,0.8888888888888892,0.872871560943969,3.2,3.395,0.19499999999999984
D07,신소재공학과,D23,응용통계학과,0.8885233166386387,0.8885233166386387,2.84,2.73,0.10999999999999988
D09,의예과,D20,간호학과,0.8852704127574264,0.894427190999916,1.28,2.56155,1.28155
D12,약학과,D20,간호학과,0.8852704127574264,0.894427190999916,1.32,2.56155,1.24155
D05,화학과,D15,생명과학과,0.8803941926854271,0.8645299348672508,2.7085,3.395,0.6865000000000001
D01,건축학과,D15,생명과학과,0.8803941926854271,0.8645299348672508,3.1005000000000003,3.395,0.29449999999999976
D17,화학공학과,D23,응용통계학과,0.8767140075192097,0.8767140075192097,2.54,2.73,0.18999999999999995
D10,수학과,D21,전기전자공학과,0.8754275592730115,0.8574929257125445,2.665,3.335,0.6699999999999999
D05,화학과,D11,경영학과,0.8735555046022887,0.8645299348672508,2.7085,3.2,0.49150000000000027
D01,건축학과,D07,신소재공학과,0.861056771822892,0.861056771822892,3.1005000000000003,2.84,0.2605000000000004
D04,기계공학과,D07,신소재공학과,0.8603090020146071,0.8603090020146071,3.2,2.84,0.3600000000000003
D05,화학과,D17,화학공학과,0.8597269536210954,0.8597269536210954,2.7085,2.54,0.16849999999999987
D01,건축학과,D17,화학공학과,0.8597269536210954,0.8597269536210954,3.1005000000000003,2.54,0.5605000000000002
D23,응용통계학과,D24,컴퓨터공학과,0.8467803948114513,0.8666666666666668,2.73,3.145,0.41500000000000004
D10,수학과,D24,컴퓨터공학과,0.8440722199302098,0.8520128672302583,2.665,3.145,0.48
D01,건축학과,D19,식품영양학과,0.8355044182110839,0.8355044182110839,3.1005000000000003,3.65,0.5494999999999997
D05,화학과,D19,식품영양학과,0.8355044182110839,0.8355044182110839,2.7085,3.65,0.9415
D04,기계공학과,D05,화학과,0.8340576562282993,0.8340576562282993,3.2,2.7085,0.49150000000000027
D01,건축학과,D04,기계공학과,0.8340576562282993,0.8340576562282993,3.1005000000000003,3.2,0.09949999999999992
D11,경영학과,D21,전기전자공학과,0.8340360973874236,0.7938841860374445,3.2,3.335,0.1349999999999998
D15,생명과학과,D23,응용통계학과,0.8319742002964082,0.8451542547285161,3.395,2.73,0.665
D17,화학공학과,D20,간호학과,0.8315667549715154,0.840168050416806,2.54,2.56155,0.021549999999999958
D17,화학공학과,D24,컴퓨터공학과,0.8315667549715152,0.8767140075192097,2.54,3.145,0.605
D15,생명과학과,D24,컴퓨터공학과,0.828173324999922,0.8451542547285161,3.395,3.145,0.25
D03,심리학과,D13,사회학과,0.8231932086840424,0.7778444682625972,3.25,2.7649999999999997,0.4850000000000003
D01,건축학과,D10,수학과,0.8213232037429529,0.8355044182110839,3.1005000000000003,2.665,0.4355000000000002
D05,화학과,D10,수학과,0.8213232037429529,0.8355044182110839,2.7085,2.665,0.04349999999999987
D15,생명과학과,D21,전기전자공학과,0.8184452628901168,0.8468097984399408,3.395,3.335,0.06000000000000005
D03,심리학과,D11,경영학과,0.8166535844059446,0.8164965809277259,3.25,3.2,0.04999999999999982
D07,신소재공학과,D21,전기전자공학과,0.8158031654472916,0.8346223261119861,2.84,3.335,0.4950000000000001
D12,약학과,D17,화학공학과,0.8140915784106947,0.8140915784106947,1.32,2.54,1.22
D09,의예과,D17,화학공학과,0.8140915784106947,0.8140915784106947,1.28,2.54,1.26
D05,화학과,D07,신소재공학과,0.813220284499398,0.813220284499398,2.7085,2.84,0.13149999999999995
D03,심리학과,D22,사학과,0.8124038404635963,0.8017837257372734,3.25,3.5,0.25
D03,심리학과,D16,미디어커뮤니케이션학과,0.8111071056538132,0.7970811413304559,3.25,2.77,0.48
D19,식품영양학과,D20,간호학과,0.8081376242652525,0.8164965809277264,3.65,2.56155,1.08845
D05,화학과,D09,의예과,0.8075728530872485,0.8075728530872485,2.7085,1.28,1.4284999999999999
D05,화학과,D12,약학과,0.8075728530872485,0.8075728530872485,2.7085,1.32,1.3884999999999998
D11,경영학과,D16,미디어커뮤니케이션학과,0.8052627168725036,0.8010018789148142,3.2,2.77,0.43000000000000016
D09,의예과,D15,생명과학과,0.8032854347689459,0.7888106377466151,1.28,3.395,2.115
D12,약학과,D15,생명과학과,0.8032854347689459,0.7888106377466151,1.32,3.395,2.075
D17,화학공학과,D21,전기전자공학과,0.8008534347238069,0.823529411764706,2.54,3.335,0.7949999999999999
D17,화학공학과,D19,식품영양학과,0.8003267306650416,0.8003267306650416,2.54,3.65,1.1099999999999999
D02,국어국문학과,D13,사회학과,0.7954116786684061,0.7701540462154055,2.96,2.7649999999999997,0.19500000000000028
D05,화학과,D21,전기전자공학과,0.7944407119985643,0.809154779878678,2.7085,3.335,0.6265000000000001
D01,건축학과,D21,전기전자공학과,0.7944407119985643,0.809154779878678,3.1005000000000003,3.335,0.2344999999999997
D11,경영학과,D24,컴퓨터공학과,0.7933125042155387,0.7888106377466151,3.2,3.145,0.05500000000000016
D09,의예과,D19,식품영양학과,0.7911548052852398,0.7911548052852398,1.28,3.65,2.37
D12,약학과,D19,식품영양학과,0.7911548052852398,0.7911548052852398,1.32,3.65,2.33
D07,신소재공학과,D20,간호학과,0.7865834032652851,0.7947194142390267,2.84,2.56155,0.27844999999999986
D02,국어국문학과,D16,미디어커뮤니케이션학과,0.786583403265285,0.7947194142390267,2.96,2.77,0.18999999999999995
D07,신소재공학과,D24,컴퓨터공학과,0.786583403265285,0.8292884288627295,2.84,3.145,0.30500000000000016
D01,건축학과,D11,경영학과,0.7791170716723115,0.7735267838285929,3.1005000000000003,3.2,0.09949999999999992
D05,화학과,D24,컴퓨터공학과,0.7770873402002618,0.8075728530872485,2.7085,3.145,0.4365000000000001
D01,건축학과,D24,컴퓨터공학과,0.7770873402002618,0.8075728530872485,3.1005000000000003,3.145,0.04449999999999976
D06,산업공학과,D14,경제학과,0.7715167498104598,0.7715167498104598,3.05,2.93,0.11999999999999966
D10,수학과,D20,간호학과,0.7706746355884524,0.8164965809277264,2.665,2.56155,0.10345000000000004
D07,신소재공학과,D09,의예과,0.7700535410868202,0.7700535410868202,2.84,1.28,1.5599999999999998
D07,신소재공학과,D12,약학과,0.7700535410868202,0.7700535410868202,2.84,1.32,1.5199999999999998
D11,경영학과,D13,사회학과,0.7689290509335253,0.7409585736349482,3.2,2.7649999999999997,0.4350000000000005
D05,화학과,D16,미디어커뮤니케이션학과,0.765383797175904,0.765383797175904,2.7085,2.77,0.06150000000000011
D04,기계공학과,D11,경영학과,0.764286998047602,0.7637626158259729,3.2,3.2,0.0
D09,의예과,D10,수학과,0.762770071396474,0.7911548052852398,1.28,2.665,1.385
D10,수학과,D12,약학과,0.762770071396474,0.7911548052852398,2.665,1.32,1.345
D15,생명과학과,D20,간호학과,0.7619194589999282,0.7559289460184543,3.395,2.56155,0.83345
D02,국어국문학과,D11,경영학과,0.7595545253127498,0.7559289460184543,2.96,3.2,0.2400000000000002
D05,화학과,D13,사회학과,0.7585826061362606,0.7585826061362606,2.7085,2.7649999999999997,0.05649999999999977
D07,신소재공학과,D19,식품영양학과,0.7570332986102256,0.7570332986102256,2.84,3.65,0.81
D11,경영학과,D15,생명과학과,0.7548513560963972,0.7619047619047614,3.2,3.395,0.19499999999999984
D10,수학과,D19,식품영양학과,0.7543365091413577,0.777777777777778,2.665,3.65,0.9849999999999999
D01,건축학과,D23,응용통계학과,0.7537346628814319,0.7537346628814319,3.1005000000000003,2.73,0.3705000000000003
D05,화학과,D23,응용통계학과,0.7537346628814319,0.7537346628814319,2.7085,2.73,0.021500000000000075
D10,수학과,D11,경영학과,0.7526178090063816,0.7200822998230957,2.665,3.2,0.5350000000000001
D02,국어국문학과,D22,사학과,0.7525489793561391,0.7698003589195012,2.96,3.5,0.54
D15,생명과학과,D19,식품영양학과,0.7332959212304936,0.7200822998230957,3.395,3.65,0.2549999999999999
D11,경영학과,D23,응용통계학과,0.7308816827558576,0.732467020764714,3.2,2.73,0.4700000000000002
D06,산업공학과,D24,컴퓨터공학과,0.7302967433402215,0.632455532033676,3.05,3.145,0.0950000000000002
D05,화학과,D20,간호학과,0.714920352984241,0.7223151185146155,2.7085,2.56155,0.14694999999999991
D01,건축학과,D20,간호학과,0.714920352984241,0.7223151185146155,3.1005000000000003,2.56155,0.5389500000000003
D04,기계공학과,D09,의예과,0.710046946804693,0.710046946804693,3.2,1.28,1.9200000000000002
D04,기계공학과,D12,약학과,0.710046946804693,0.710046946804693,3.2,1.32,1.8800000000000001
D04,기계공학과,D20,간호학과,0.7080881928749334,0.7216878364870324,3.2,2.56155,0.6384500000000002
D04,기계공학과,D19,식품영양학과,0.7071067811865475,0.7071067811865475,3.2,3.65,0.44999999999999973
D16,미디어커뮤니케이션학과,D19,식품영양학과,0.7029594915666381,0.7029594915666381,2.77,3.65,0.8799999999999999
D07,신소재공학과,D11,경영학과,0.7013578501792773,0.7008766440504625,2.84,3.2,0.3600000000000003
D01,건축학과,D09,의예과,0.6998964726756153,0.6998964726756153,3.1005000000000003,1.28,1.8205000000000002
D01,건축학과,D12,약학과,0.6998964726756153,0.6998964726756153,3.1005000000000003,1.32,1.7805000000000002
D11,경영학과,D17,화학공학과,0.6865437954763619,0.688032961232452,3.2,2.54,0.6600000000000001
D13,사회학과,D19,식품영양학과,0.6859943405700356,0.6859943405700356,2.7649999999999997,3.65,0.8850000000000002
D02,국어국문학과,D05,화학과,0.6838368593762304,0.6621221919717308,2.96,2.7085,0.25150000000000006
D16,미디어커뮤니케이션학과,D22,사학과,0.6789146042562412,0.6882472016116854,2.77,3.5,0.73
D03,심리학과,D05,화학과,0.6782329983125271,0.6687338550904235,3.25,2.7085,0.5415000000000001
D14,경제학과,D24,컴퓨터공학과,0.6761234037828134,0.58554004376912,2.93,3.145,0.21499999999999986
D13,사회학과,D22,사학과,0.6755205294731985,0.6467616667635545,2.7649999999999997,3.5,0.7350000000000003
D14,경제학과,D21,전기전자공학과,0.6720215050322474,0.641688947919748,2.93,3.335,0.4049999999999998
D01,건축학과,D16,미디어커뮤니케이션학과,0.669710822528916,0.669710822528916,3.1005000000000003,2.77,0.33050000000000024
D06,산업공학과,D20,간호학과,0.6694386813952031,0.7071067811865477,3.05,2.56155,0.48844999999999983
D19,식품영양학과,D23,응용통계학과,0.669438681395203,0.669438681395203,3.65,2.73,0.9199999999999999
D19,식품영양학과,D24,컴퓨터공학과,0.6675919504799912,0.669438681395203,3.65,3.145,0.5049999999999999
D11,경영학과,D19,식품영양학과,0.6672006408545298,0.6686478498357317,3.2,3.65,0.44999999999999973
D09,의예과,D23,응용통계학과,0.6666666666666669,0.6666666666666669,1.28,2.73,1.45
D12,약학과,D23,응용통계학과,0.6666666666666669,0.6666666666666669,1.32,2.73,1.41
D19,식품영양학과,D21,전기전자공학과,0.6585527740981748,0.6859943405700356,3.65,3.335,0.31499999999999995
D01,건축학과,D13,사회학과,0.6574382586514258,0.6574382586514258,3.1005000000000003,2.7649999999999997,0.3355000000000006
D20,간호학과,D23,응용통계학과,0.654330305081576,0.670820393249937,2.56155,2.73,0.16845
D09,의예과,D24,컴퓨터공학과,0.654330305081576,0.6666666666666669,1.28,3.145,1.865
D12,약학과,D24,컴퓨터공학과,0.654330305081576,0.6666666666666669,1.32,3.145,1.825
D11,경영학과,D22,사학과,0.6504436355879909,0.6546536707079769,3.2,3.5,0.2999999999999998
D03,심리학과,D14,경제학과,0.6414269805898187,0.6060915267313267,3.25,2.93,0.31999999999999984
D15,생명과학과,D16,미디어커뮤니케이션학과,0.6372659274182273,0.6508140266182866,3.395,2.77,0.625
D06,산업공학과,D23,응용통계학과,0.632455532033676,0.632455532033676,3.05,2.73,0.31999999999999984
D06,산업공학과,D12,약학과,0.632455532033676,0.632455532033676,3.05,1.32,1.7299999999999998
D06,산업공학과,D09,의예과,0.632455532033676,0.632455532033676,3.05,1.28,1.7699999999999998
D20,간호학과,D24,컴퓨터공학과,0.6222222222222222,0.670820393249937,2.56155,3.145,0.58345
D06,산업공학과,D21,전기전자공학과,0.6221710168382554,0.5940885257860047,3.05,3.335,0.28500000000000014
D13,사회학과,D15,생명과학과,0.6198132639817396,0.6351073488299557,2.7649999999999997,3.395,0.6300000000000003
D11,경영학과,D12,약학과,0.6139406135149205,0.619779786800912,3.2,1.32,1.8800000000000001
